Carrera Escogida,Escuela de Origen,Municipio,Estado,Sexo,Estado Civil,calFin,Paso
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,MEXICO,HOMBRE,CASADO,8,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,YUCATAN,MUJER,CASADO,8,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,9,1
TSU EN PROCESOS ALIMENTARIOS,CBTA # 5 (HUEJUTLA),YAHUALICA,JALISCO,HOMBRE,VIUDO,9,1
TSU EN MECATRONICA Area Automatizacion,CBTA # 5 (HUEJUTLA),TLANCHINOL,HIDALGO,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,ATLAPEXCO,MEXICO,MUJER,SOLTERO,10,1
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,YUCATAN,MUJER,SOLTERO,2,0
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,TLANCHINOL,MEXICO,HOMBRE,CASADO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL JALTOCAN,TLANCHINOL,MEXICO,MUJER,CASADO,7,0
TSU EN CONTADURIA,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,YUCATAN,HOMBRE,SOLTERO,8,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,PUEBLA,HOMBRE,CASADO,3,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL MECATLAN,TLANCHINOL,HIDALGO,HOMBRE,VIUDO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH HUEJUTLA,TLANCHINOL,HIDALGO,HOMBRE,VIUDO,2,0
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,TLANCHINOL,JALISCO,HOMBRE,DIVORCIADO,9,1
TSU EN CONSTRUCCION,CECYTE HUEJUTLA,ATLAPEXCO,JALISCO,MUJER,CASADO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,JALISCO,MUJER,DIVORCIADO,4,0
TSU EN PROCESOS ALIMENTARIOS,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,PUEBLA,MUJER,DIVORCIADO,3,0
TSU EN AGROBIOTECNOLOGIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,9,1
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,HIDALGO,MUJER,VIUDO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE HUEJUTLA,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,PUEBLA,MUJER,VIUDO,9,1
TSU EN GASTRONOMIA,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,JALISCO,MUJER,VIUDO,3,0
TSU EN CONTADURIA,COBAEH HUEJUTLA,TLANCHINOL,MEXICO,HOMBRE,CASADO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,JALISCO,HOMBRE,DIVORCIADO,5,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH ATLAPEXCO,ATLAPEXCO,JALISCO,HOMBRE,CASADO,8,1
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,MEXICO,MUJER,VIUDO,10,1
TSU EN MERCADOTECNIA,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,HIDALGO,MUJER,SOLTERO,1,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH HUEJUTLA,ATLAPEXCO,PUEBLA,HOMBRE,DIVORCIADO,1,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CONALEP CIUDAD AZTECA,YAHUALICA,PUEBLA,MUJER,CASADO,2,0
TSU EN AGROBIOTECNOLOGIA,CECYTEH PLANTEL POXINDEJE,TLANCHINOL,JALISCO,MUJER,SOLTERO,8,1
TSU EN MERCADOTECNIA,COBAEH HUEJUTLA,TLANCHINOL,MEXICO,HOMBRE,DIVORCIADO,8,1
TSU EN MECATRONICA Area Automatizacion,CECYTE ATLAPEXCO,ATLAPEXCO,YUCATAN,HOMBRE,DIVORCIADO,8,1
TSU EN CONSTRUCCION,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,HIDALGO,HOMBRE,CASADO,9,1
TSU EN AGROBIOTECNOLOGIA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,JALISCO,MUJER,SOLTERO,1,0
TSU EN GASTRONOMIA,CECYTEH PLANTEL POXINDEJE,TLANCHINOL,PUEBLA,MUJER,CASADO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL MECATLAN,TLANCHINOL,MEXICO,MUJER,DIVORCIADO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,MEXICO,HOMBRE,DIVORCIADO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE HUEJUTLA,YAHUALICA,JALISCO,HOMBRE,VIUDO,10,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,PUEBLA,HOMBRE,DIVORCIADO,4,0
TSU EN MERCADOTECNIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,JALISCO,HOMBRE,SOLTERO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,YUCATAN,MUJER,SOLTERO,10,1
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,MEXICO,HOMBRE,VIUDO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL JALTOCAN,YAHUALICA,HIDALGO,HOMBRE,VIUDO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH ATLAPEXCO,ATLAPEXCO,PUEBLA,HOMBRE,VIUDO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,YAHUALICA,PUEBLA,MUJER,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,YUCATAN,MUJER,CASADO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTEH PLANTEL PACHUCA,TLANCHINOL,JALISCO,HOMBRE,VIUDO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,MEXICO,MUJER,CASADO,10,1
TSU EN CONSTRUCCION,CECYTE HUEJUTLA,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,8,1
TSU EN MERCADOTECNIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,HIDALGO,MUJER,VIUDO,1,0
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,HIDALGO,HOMBRE,VIUDO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,TLANCHINOL,HIDALGO,MUJER,CASADO,1,0
TSU EN GASTRONOMIA,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,YUCATAN,HOMBRE,SOLTERO,3,0
TSU EN CONTADURIA,CECYTEH PLANTEL POXINDEJE,YAHUALICA,MEXICO,HOMBRE,VIUDO,9,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH HUEJUTLA,ATLAPEXCO,PUEBLA,MUJER,CASADO,2,0
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,JALISCO,HOMBRE,CASADO,10,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL JALTOCAN,TLANCHINOL,PUEBLA,MUJER,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,8,1
TSU EN CONTADURIA,CECYTE ATLAPEXCO,TLANCHINOL,PUEBLA,HOMBRE,SOLTERO,2,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,YUCATAN,HOMBRE,DIVORCIADO,4,0
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,YAHUALICA,HIDALGO,MUJER,SOLTERO,8,1
TSU EN CONTADURIA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,MEXICO,MUJER,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH HUEJUTLA,YAHUALICA,MEXICO,MUJER,CASADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTE ATLAPEXCO,YAHUALICA,PUEBLA,MUJER,SOLTERO,1,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,10,1
TSU EN MECATRONICA Area Automatizacion,CECYTE ATLAPEXCO,TLANCHINOL,PUEBLA,HOMBRE,CASADO,5,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,TLANCHINOL,PUEBLA,HOMBRE,DIVORCIADO,9,1
TSU EN MERCADOTECNIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,MEXICO,MUJER,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,PUEBLA,HOMBRE,DIVORCIADO,1,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,HIDALGO,HOMBRE,DIVORCIADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE ATLAPEXCO,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,4,0
TSU EN CONSTRUCCION,COBAEH ATLAPEXCO,YAHUALICA,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,MEXICO,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,CECYTEH PLANTEL PACHUCA,TLANCHINOL,YUCATAN,HOMBRE,CASADO,7,0
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,HIDALGO,HOMBRE,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH HUEJUTLA,YAHUALICA,YUCATAN,HOMBRE,CASADO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL MECATLAN,YAHUALICA,YUCATAN,HOMBRE,SOLTERO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTEH PLANTEL PACHUCA,HUEJUTLA DE REYES,HIDALGO,MUJER,DIVORCIADO,6,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TEHUETLAN,YAHUALICA,MEXICO,MUJER,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,HUEJUTLA DE REYES,JALISCO,HOMBRE,CASADO,4,0
TSU EN CONSTRUCCION,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,YUCATAN,MUJER,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,MEXICO,MUJER,DIVORCIADO,3,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTEH PLANTEL POXINDEJE,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,1,0
TSU EN CONTADURIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,PUEBLA,HOMBRE,VIUDO,10,1
TSU EN PROCESOS ALIMENTARIOS,CONALEP CIUDAD AZTECA,ATLAPEXCO,MEXICO,MUJER,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,YUCATAN,MUJER,VIUDO,9,1
TSU EN MECATRONICA Area Automatizacion,CBTA # 5 (HUEJUTLA),YAHUALICA,HIDALGO,HOMBRE,SOLTERO,5,0
TSU EN MECATRONICA Area Automatizacion,CECYTE ATLAPEXCO,YAHUALICA,JALISCO,HOMBRE,VIUDO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,PUEBLA,HOMBRE,CASADO,3,0
TSU EN CONTADURIA,CECYTE ATLAPEXCO,TLANCHINOL,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN MERCADOTECNIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,JALISCO,MUJER,DIVORCIADO,10,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,JALISCO,HOMBRE,SOLTERO,8,1
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,JALISCO,MUJER,CASADO,6,0
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,9,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,PUEBLA,HOMBRE,VIUDO,9,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL PACHUCA,YAHUALICA,PUEBLA,HOMBRE,VIUDO,9,1
TSU EN CONTADURIA,CECYTE HUEJUTLA,ATLAPEXCO,JALISCO,MUJER,DIVORCIADO,6,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,HIDALGO,MUJER,DIVORCIADO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH ATLAPEXCO,YAHUALICA,JALISCO,HOMBRE,CASADO,10,1
TSU EN CONTADURIA,CECYTE HUEJUTLA,TLANCHINOL,MEXICO,HOMBRE,CASADO,1,0
TSU EN CONSTRUCCION,COBAEH PLANTEL TIANGUISTENGO,TLANCHINOL,PUEBLA,HOMBRE,CASADO,10,1
TSU EN CONTADURIA,COBAEH ATLAPEXCO,ATLAPEXCO,YUCATAN,MUJER,DIVORCIADO,1,0
TSU EN CONSTRUCCION,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,JALISCO,MUJER,CASADO,10,1
TSU EN CONSTRUCCION,CBTA # 5 (HUEJUTLA),TLANCHINOL,MEXICO,HOMBRE,DIVORCIADO,10,1
TSU EN MERCADOTECNIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,PUEBLA,MUJER,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTEH PLANTEL PACHUCA,TLANCHINOL,HIDALGO,HOMBRE,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,PUEBLA,MUJER,SOLTERO,9,1
TSU EN CONTADURIA,CBTA # 5 (HUEJUTLA),TLANCHINOL,HIDALGO,MUJER,CASADO,7,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,HIDALGO,HOMBRE,SOLTERO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL JALTOCAN,ATLAPEXCO,JALISCO,HOMBRE,DIVORCIADO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE HUEJUTLA,YAHUALICA,JALISCO,HOMBRE,VIUDO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TEHUETLAN,YAHUALICA,PUEBLA,MUJER,SOLTERO,4,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH ATLAPEXCO,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE HUEJUTLA,TLANCHINOL,YUCATAN,MUJER,DIVORCIADO,9,1
TSU EN MERCADOTECNIA,CBTA # 5 (HUEJUTLA),TLANCHINOL,HIDALGO,HOMBRE,SOLTERO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,HIDALGO,MUJER,SOLTERO,2,0
TSU EN GASTRONOMIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,JALISCO,HOMBRE,CASADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,HUEJUTLA DE REYES,JALISCO,MUJER,VIUDO,7,0
TSU EN CONTADURIA,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,4,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CBTA # 5 (HUEJUTLA),YAHUALICA,PUEBLA,MUJER,DIVORCIADO,8,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,PUEBLA,HOMBRE,VIUDO,8,1
TSU EN GASTRONOMIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,MEXICO,MUJER,CASADO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,ATLAPEXCO,JALISCO,HOMBRE,CASADO,9,1
TSU EN GASTRONOMIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,JALISCO,HOMBRE,VIUDO,4,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,HUEJUTLA DE REYES,YUCATAN,HOMBRE,SOLTERO,9,1
TSU EN CONTADURIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,PUEBLA,HOMBRE,VIUDO,8,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,JALISCO,MUJER,SOLTERO,10,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,MEXICO,HOMBRE,VIUDO,9,1
TSU EN PROCESOS ALIMENTARIOS,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,PUEBLA,MUJER,SOLTERO,10,1
TSU EN CONSTRUCCION,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,YUCATAN,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,MEXICO,MUJER,VIUDO,10,1
TSU EN MECATRONICA Area Automatizacion,COBAEH HUEJUTLA,TLANCHINOL,HIDALGO,MUJER,DIVORCIADO,10,1
TSU EN CONTADURIA,CONALEP CIUDAD AZTECA,YAHUALICA,YUCATAN,HOMBRE,SOLTERO,9,1
TSU EN GASTRONOMIA,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,MEXICO,MUJER,CASADO,8,1
TSU EN CONSTRUCCION,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,JALISCO,HOMBRE,DIVORCIADO,9,1
TSU EN AGROBIOTECNOLOGIA,CECYTEH PLANTEL PACHUCA,TLANCHINOL,HIDALGO,MUJER,CASADO,10,1
TSU EN GASTRONOMIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,9,1
TSU EN MERCADOTECNIA,CECYTEH PLANTEL SAN FELIPE,TLANCHINOL,JALISCO,HOMBRE,VIUDO,8,1
TSU EN CONTADURIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,4,0
TSU EN CONSTRUCCION,COBAEH HUEJUTLA,YAHUALICA,PUEBLA,MUJER,VIUDO,9,1
TSU EN AGROBIOTECNOLOGIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,JALISCO,MUJER,VIUDO,7,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,MEXICO,MUJER,CASADO,9,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,YUCATAN,MUJER,CASADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL MECATLAN,ATLAPEXCO,HIDALGO,HOMBRE,CASADO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL SANTA CATARINA,TLANCHINOL,JALISCO,MUJER,VIUDO,7,0
TSU EN PROCESOS ALIMENTARIOS,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,PUEBLA,MUJER,DIVORCIADO,6,0
TSU EN CONSTRUCCION,CBTA # 5 (HUEJUTLA),TLANCHINOL,YUCATAN,HOMBRE,SOLTERO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TIANGUISTENGO,TLANCHINOL,YUCATAN,MUJER,DIVORCIADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,JALISCO,HOMBRE,VIUDO,9,1
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,TLANCHINOL,PUEBLA,MUJER,CASADO,2,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,JALISCO,HOMBRE,SOLTERO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,HIDALGO,MUJER,SOLTERO,8,1
TSU EN AGROBIOTECNOLOGIA,CECYTE HUEJUTLA,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,HIDALGO,HOMBRE,DIVORCIADO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,9,1
TSU EN CONSTRUCCION,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,MEXICO,MUJER,VIUDO,8,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,PUEBLA,HOMBRE,DIVORCIADO,4,0
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,CASADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,ATLAPEXCO,JALISCO,HOMBRE,CASADO,10,1
TSU EN CONTADURIA,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,YUCATAN,MUJER,VIUDO,7,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,MEXICO,HOMBRE,SOLTERO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,JALISCO,HOMBRE,DIVORCIADO,10,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,JALISCO,HOMBRE,CASADO,2,0
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL POXINDEJE,TLANCHINOL,PUEBLA,HOMBRE,SOLTERO,9,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL PACHUCA,HUEJUTLA DE REYES,HIDALGO,HOMBRE,DIVORCIADO,10,1
